,shop_name,STREET,LOCALITY,REGION,POSTAL_CODE
191,Cafe Mystique,"130 Industry St, ","North York, ","ON, ",M6M 5G3
192,Café Neon,"241 Wallace Ave, ","Toronto, ","ON, ",M6H 1V5
193,Cafe Neon,"1024 Queen St W, ","Toronto, ","ON, ",M6J 1H6
194,Cafe O,"7027, rue Durocher, ","Montréal, ","QC, ",H3N 1Z7
195,Café Olya,"540 Parliament St, ","Toronto, ","ON, ",M4X 1P6
196,Cafe On Ingram,"2221 Keele St, ","North York, ","ON, ",M6M 3Z5
197,Cafe On The Go,"300 Yonge St, ","Toronto, ","ON, ",M5P 1O8
198,Cafe On The Go,"151 Yonge St, ","Toronto, ","ON, ",M5C 2W7
199,Cafe On The Square,"100 Queen St W, ","Toronto, ","ON, ",M5H 2N1
200,Cafe Oro,"21 Dundas Sq, ","Toronto, ","ON, ",M5B 1B7
201,Cafe Ossy's Bakery,"Non, ","Non, ","ON, ",Non
202,Cafe Palace,"2375 Steeles Ave W, ","North York, ","ON, ",M3J 3A8
203,Cafe Piccolino,"1201 Bloor St W, ","Toronto, ","ON, ",M6H 1N4
204,Cafe Place,"99 Hillsdale Ave E, ","Toronto, ","ON, ",M4S 1T4
205,Café Princess,"5590 Yonge St, ","North York, ","ON, ",M2N 5S2
206,Cafe Soul,"23 Drewry Ave, ","North York, ","ON, ",M2M 1C9
207,Cafe Spider's Corner,"351 Marlee Ave, ","North York, ","ON, ",M6B 3H9
208,Café Sport Bar Europe,"376 Browns Line, ","Etobicoke, ","ON, ",M8W 3T7
209,Cafe Supreme,"123 Queen St W, ","Toronto, ","ON, ",M5H 3M9
210,Cafe Supreme,"556 Church St, ","Toronto, ","ON, ",M4Y 2E3
211,Cafe Taste,"Non, ","Toronto, ","ON, ",Non
212,Café Waldhaus,"Non, ","Non, ","ON, ",Non
213,Cafe Xpress,"150 Consumers Rd, ","North York, ","ON, ",M2J 1P9
214,Cafe Zavida,"382 Yonge St, ","Toronto, ","ON, ",M5B 1S8
215,Caffe Artigiano,"101-67 Yonge St, ","Toronto, ","ON, ",M5E 1J8
216,Caffe Demetre,"2962 Bloor St W, ","Etobicoke, ","ON, ",M8X 1B7
217,Caffe Di Portici,"101A-6 Scollard St, ","Toronto, ","ON, ",M5R 1E9
218,Caffe Romano,"349 Oakwood Ave, ","York, ","ON, ",M6E 2W1
219,Caffeine - Toronto's Cafe,"1448 Lawrence Ave E, ","North York, ","ON, ",M4A 2S8
220,Cake House Bakery,"2300 Lawrence Ave E, ","Scarborough, ","ON, ",M1P 2R2
221,Cakeview Bakery & Cafe,"4188 Finch Ave E, ","Scarborough, ","ON, ",M1S 4T6
222,Cakewood Bakery And Cafe,"1571 Sandhurst Cir, ","Toronto, ","ON, ",M1V 1V2
223,Cameron's Coffee,"2 Matilda St, ","Toronto, ","ON, ",M4M 1L9
224,Canada Coffee Svc,"14 Terrydale Dr, ","Toronto, ","ON, ",M3H 5M6
225,Canephora Cafe & Bakery,"222 Finch Ave W, ","North York, ","ON, ",M2R 1M6
226,Cappucci Caffe Inc,"264 Silverado Trail, ","Woodbridge, ","ON, ",L4H 1Z6
227,Capriccio Café,"Non, ","Non, ","ON, ",Non
228,Carole's Cheesecake Cafe Yorkv,"114 Cumberland St, ","Toronto, ","ON, ",M5R 1A6
229,Casa del Café,"108-70 Turntable Cres, ","Toronto, ","ON, ",M6H 4K9
230,Cavallino Cafe Sports Bar,"930 The Queensway, ","Etobicoke, ","ON, ",M8Z 1P4
231,Ce L'Espresso Inc,"1705 Weston Rd, ","York, ","ON, ",M9N 1V5
232,Centre Cafe,"5 Park Home Ave, ","North York, ","ON, ",M2N 6L4
233,Chatime Toronto,"132 Dundas St W, ","Toronto, ","ON, ",M5G 1C3
234,Chatter,"51 Underhill Dr, ","North York, ","ON, ",M3A 2J8
